Age,PA,count
age_2_young,PA_1,11901
age_2_young,PA_2,4774
age_2_young,PA_3,6567
age_2_young,PA_4,30847
age_2_young,PA_5,398
age_3_young_adult,PA_1,23053
age_3_young_adult,PA_2,7833
age_3_young_adult,PA_3,10646
age_3_young_adult,PA_4,40346
age_3_young_adult,PA_5,296
age_4_adult,PA_1,17490
age_4_adult,PA_2,5516
age_4_adult,PA_3,8565
age_4_adult,PA_4,29512
age_4_adult,PA_5,117
age_5_old_adult,PA_1,6058
age_5_old_adult,PA_2,1655
age_5_old_adult,PA_3,3078
age_5_old_adult,PA_4,10154
age_5_old_adult,PA_5,24
